File Generated on 04-Oct-2015 04:55:35,
Data for 03-Oct-2015,
Date,HourEnd,LoadAvgHourlyMIDATL,LoadAvgHourlyAP,LoadAvgHourlyNI,LoadAvgHourlyAEP,LoadAvgHourlyDAY,LoadAvgHourlyDUQ,LoadAvgHourlyDOM,LoadAvgHourlyATSI,LoadAvgHourlyDEOK,LoadAvgHourlyEKPC
10/03/2015,1,23312.7,4440.9,8959.9,11211.0,1525.7,1208.2,7637.3,5974.4,2321.8,1082.5
10/03/2015,2,22331.2,4322.6,8514.9,10801.2,1449.2,1165.9,7332.1,5780.4,2227.0,1046.0
10/03/2015,3,21775.6,4235.9,8163.1,10771.3,1406.4,1140.2,7191.7,5645.7,2187.0,1013.9
10/03/2015,4,21514.7,4170.9,7969.7,10665.0,1389.7,1135.9,7109.6,5559.4,2147.9,1009.3
10/03/2015,5,21552.2,4200.9,7868.2,10656.5,1396.3,1137.6,7123.1,5493.8,2152.0,1002.2
10/03/2015,6,22094.8,4298.8,7889.6,10910.3,1434.5,1159.1,7277.8,5662.7,2187.8,1026.5
10/03/2015,7,23216.6,4465.7,8090.8,11353.5,1514.2,1204.5,7644.1,5984.7,2293.4,1071.7
10/03/2015,8,24428.5,4684.8,8541.1,11915.5,1612.6,1260.9,8118.6,6301.4,2437.7,1153.7
10/03/2015,9,26092.2,4916.3,8724.4,12555.8,1696.7,1317.5,8818.0,6512.4,2547.2,1216.4
10/03/2015,10,27515.3,5134.8,9148.2,13030.4,1777.4,1382.6,9462.5,6788.7,2658.2,1296.8
10/03/2015,11,28311.1,5244.0,9382.1,13389.4,1813.2,1417.2,9828.1,7011.3,2735.1,1336.4
10/03/2015,12,28472.1,5229.6,9530.5,13443.0,1822.6,1427.6,10017.0,7064.3,2743.2,1336.2
10/03/2015,13,28262.2,5113.7,9483.8,13240.9,1813.2,1424.7,10071.4,7019.4,2773.6,1321.4
10/03/2015,14,27882.4,5030.7,9448.6,13023.1,1795.7,1405.4,10000.9,6939.0,2741.2,1299.7
10/03/2015,15,27541.4,4935.4,9323.8,12924.6,1767.0,1386.6,9939.4,6863.4,2699.0,1271.1
10/03/2015,16,27331.6,4899.9,9278.2,12768.5,1753.2,1394.1,9930.4,6787.6,2676.5,1273.7
10/03/2015,17,27455.6,4913.9,9231.1,12734.6,1746.8,1399.4,9976.5,6778.8,2677.9,1281.2
10/03/2015,18,27774.8,4967.3,9296.5,12786.3,1731.9,1401.9,9992.5,6789.1,2700.2,1291.9
10/03/2015,19,28543.2,5005.7,9476.1,12839.2,1715.9,1416.5,10134.4,6842.5,2687.2,1290.2
10/03/2015,20,28990.1,5141.6,9867.2,13125.9,1760.7,1458.8,10278.8,7008.4,2761.3,1281.3
10/03/2015,21,28462.1,5086.1,10028.9,12937.5,1760.3,1444.0,10018.9,6942.3,2778.1,1328.0
10/03/2015,22,27443.5,4931.9,9899.2,12468.4,1697.5,1407.8,9602.6,6741.6,2698.1,1257.3
10/03/2015,23,25989.3,4741.7,9552.4,11903.9,1604.0,1340.3,8997.5,6368.1,2556.2,1189.5
10/03/2015,24,24348.0,4473.2,9071.9,11352.0,1506.6,1273.1,8388.6,6027.5,2398.7,1103.6
