temp,hindx,year,mindx,dindx
75,13,2015,10,8
76,14,2015,10,8
76,15,2015,10,8
75,16,2015,10,8
74,17,2015,10,8
72,18,2015,10,8
69,19,2015,10,8
66,20,2015,10,8
65,21,2015,10,8
64,22,2015,10,8
63,23,2015,10,8
63,0,2015,10,9
62,1,2015,10,9
62,2,2015,10,9
62,3,2015,10,9
62,4,2015,10,9
61,5,2015,10,9
61,6,2015,10,9
61,7,2015,10,9
62,8,2015,10,9
65,9,2015,10,9
70,10,2015,10,9
74,11,2015,10,9
77,12,2015,10,9
78,13,2015,10,9
79,14,2015,10,9
79,15,2015,10,9
79,16,2015,10,9
77,17,2015,10,9
75,18,2015,10,9
72,19,2015,10,9
70,20,2015,10,9
68,21,2015,10,9
67,22,2015,10,9
67,23,2015,10,9
66,0,2015,10,10
65,1,2015,10,10
63,2,2015,10,10
62,3,2015,10,10
61,4,2015,10,10
60,5,2015,10,10
59,6,2015,10,10
57,7,2015,10,10
57,8,2015,10,10
57,9,2015,10,10
58,10,2015,10,10
59,11,2015,10,10
60,12,2015,10,10
61,13,2015,10,10
62,14,2015,10,10
62,15,2015,10,10
61,16,2015,10,10
61,17,2015,10,10
60,18,2015,10,10
58,19,2015,10,10
55,20,2015,10,10
54,21,2015,10,10
53,22,2015,10,10
52,23,2015,10,10
50,0,2015,10,11
50,1,2015,10,11
49,2,2015,10,11
48,3,2015,10,11
48,4,2015,10,11
47,5,2015,10,11
46,6,2015,10,11
46,7,2015,10,11
47,8,2015,10,11
51,9,2015,10,11
56,10,2015,10,11
61,11,2015,10,11
64,12,2015,10,11
65,13,2015,10,11
66,14,2015,10,11
67,15,2015,10,11
66,16,2015,10,11
65,17,2015,10,11
63,18,2015,10,11
60,19,2015,10,11
57,20,2015,10,11
55,21,2015,10,11
54,22,2015,10,11
53,23,2015,10,11
52,0,2015,10,12
52,1,2015,10,12
51,2,2015,10,12
50,3,2015,10,12
50,4,2015,10,12
49,5,2015,10,12
49,6,2015,10,12
48,7,2015,10,12
50,8,2015,10,12
55,9,2015,10,12
60,10,2015,10,12
65,11,2015,10,12
68,12,2015,10,12
70,13,2015,10,12
71,14,2015,10,12
72,15,2015,10,12
71,16,2015,10,12
70,17,2015,10,12
68,18,2015,10,12
65,19,2015,10,12
63,20,2015,10,12
61,21,2015,10,12
60,22,2015,10,12
60,23,2015,10,12
59,0,2015,10,13
59,1,2015,10,13
58,2,2015,10,13
58,3,2015,10,13
57,4,2015,10,13
57,5,2015,10,13
57,6,2015,10,13
57,7,2015,10,13
57,8,2015,10,13
60,9,2015,10,13
62,10,2015,10,13
64,11,2015,10,13
67,12,2015,10,13
69,13,2015,10,13
70,14,2015,10,13
71,15,2015,10,13
70,16,2015,10,13
69,17,2015,10,13
67,18,2015,10,13
64,19,2015,10,13
61,20,2015,10,13
59,21,2015,10,13
58,22,2015,10,13
57,23,2015,10,13
56,0,2015,10,14
55,1,2015,10,14
54,2,2015,10,14
53,3,2015,10,14
52,4,2015,10,14
51,5,2015,10,14
50,6,2015,10,14
50,7,2015,10,14
51,8,2015,10,14
54,9,2015,10,14
60,10,2015,10,14
64,11,2015,10,14
66,12,2015,10,14
68,13,2015,10,14
68,14,2015,10,14
68,15,2015,10,14
67,16,2015,10,14
66,17,2015,10,14
64,18,2015,10,14
61,19,2015,10,14
59,20,2015,10,14
57,21,2015,10,14
56,22,2015,10,14
55,23,2015,10,14
54,0,2015,10,15
54,1,2015,10,15
54,2,2015,10,15
53,3,2015,10,15
52,4,2015,10,15
51,5,2015,10,15
50,6,2015,10,15
49,7,2015,10,15
51,8,2015,10,15
56,9,2015,10,15
60,10,2015,10,15
64,11,2015,10,15
67,12,2015,10,15
69,13,2015,10,15
70,14,2015,10,15
70,15,2015,10,15
70,16,2015,10,15
68,17,2015,10,15
66,18,2015,10,15
62,19,2015,10,15
59,20,2015,10,15
57,21,2015,10,15
56,22,2015,10,15
55,23,2015,10,15
55,0,2015,10,16
55,1,2015,10,16
54,2,2015,10,16
53,3,2015,10,16
52,4,2015,10,16
52,5,2015,10,16
51,6,2015,10,16
51,7,2015,10,16
52,8,2015,10,16
55,9,2015,10,16
60,10,2015,10,16
64,11,2015,10,16
66,12,2015,10,16
68,13,2015,10,16
69,14,2015,10,16
69,15,2015,10,16
69,16,2015,10,16
67,17,2015,10,16
66,18,2015,10,16
63,19,2015,10,16
60,20,2015,10,16
58,21,2015,10,16
57,22,2015,10,16
57,23,2015,10,16
56,0,2015,10,17
56,1,2015,10,17
55,2,2015,10,17
53,3,2015,10,17
52,4,2015,10,17
51,5,2015,10,17
50,6,2015,10,17
49,7,2015,10,17
49,8,2015,10,17
52,9,2015,10,17
56,10,2015,10,17
59,11,2015,10,17
62,12,2015,10,17
63,13,2015,10,17
64,14,2015,10,17
64,15,2015,10,17
64,16,2015,10,17
62,17,2015,10,17
61,18,2015,10,17
58,19,2015,10,17
55,20,2015,10,17
55,21,2015,10,17
54,22,2015,10,17
53,23,2015,10,17
52,0,2015,10,18
52,1,2015,10,18
51,2,2015,10,18
50,3,2015,10,18
50,4,2015,10,18
49,5,2015,10,18
49,6,2015,10,18
48,7,2015,10,18
49,8,2015,10,18
52,9,2015,10,18
56,10,2015,10,18
58,11,2015,10,18
61,12,2015,10,18
